loudness,speechiness,acousticness,liveness,valence
-4.944,0.125,0.00369,0.0701,0.554
-3.802,0.0338,0.00287,0.115,0.749
-7.779,0.0728,0.00107,0.292,0.537
-2.942,0.223,0.263,0.39,0.748
-4.54,0.0364,0.00216,0.179,0.304
-1.73,0.0727,0.0381,0.416,0.845
-6.277,0.0382,0.00112,0.425,0.493
-7.503,0.156,0.14,0.201,0.905
-5.803,0.0787,0.0556,0.182,0.74
-4.823,0.139,0.372,0.0926,0.609
-4.039,0.0358,0.0243,0.35,0.854
-4.699,0.323,0.0844,0.0619,0.56
-5.103,0.035,0.0826,0.149,0.195
-6.642,0.0364,0.000748,0.187,0.118
-3.523,0.0608,0.0619,0.0945,0.827
-5.692,0.133,0.245,0.1,0.191
-4.234,0.13,0.0296,0.0537,0.71
-8.786,0.29,0.233,0.111,0.775
-7.645,0.0548,0.292,0.0956,0.631
-4.753,0.12,0.206,0.0615,0.912
-6.061,0.0261,0.285,0.0845,0.654
-3.073,0.322,0.107,0.339,0.436
-4.955,0.0688,0.0881,0.0592,0.908
-3.451,0.0925,0.0996,0.557,0.387
-8.274,0.0688,0.0499,0.35,0.309
-5.074,0.0598,0.0219,0.108,0.919
-6.554,0.0574,0.00616,0.049,0.742
-3.954,0.035,0.0135,0.0903,0.844
-3.9,0.239,0.232,0.18,0.721
-3.442,0.0456,0.0179,0.167,0.875
-6.057,0.18,0.462,0.0485,0.418
-5.529,0.0525,0.141,0.0441,0.923
-4.062,0.0926,0.00981,0.234,0.567
-7.442,0.32,0.252,0.665,0.519
-6.066,0.0428,0.0288,0.0533,0.48
-6.118,0.151,0.317,0.27,0.742
-8.049,0.0277,0.255,0.108,0.208
-5.758,0.208,0.397,0.211,0.761
-8.718,0.106,0.0903,0.363,0.784
-3.557,0.125,0.0602,0.228,0.746
-5.757,0.223,0.0084,0.0342,0.46
-5.285,0.0309,0.00312,0.313,0.863
-4.927,0.0646,0.0439,0.0703,0.9
-6.997,0.229,0.195,0.305,0.533
-5.122,0.034,0.0524,0.243,0.572
-4.753,0.174,0.0687,0.0783,0.87
-6.553,0.0289,0.241,0.124,0.695
-6.813,0.0284,0.246,0.188,0.336
-3.267,0.046,0.0011,0.173,0.96
-8.323,0.158,0.333,0.064,0.495
-5.076,0.0586,0.0862,0.0906,0.924
-7.215,0.0279,0.599,0.183,0.255
-5.603,0.283,0.0778,0.0732,0.584
-6.136,0.028,0.333,0.0956,0.27
-3.538,0.162,0.0302,0.339,0.56
-6.035,0.0504,0.000101,0.076,0.257
-6.104,0.199,0.208,0.242,0.839
-5.763,0.0532,0.347,0.106,0.707
-4.417,0.0482,6.79E-05,0.358,0.484
-5.601,0.0548,0.0011,0.226,0.601
-6.857,0.0245,0.579,0.112,0.418
-5.586,0.145,0.0216,0.172,0.828
-4.938,0.107,0.0264,0.102,0.198
-5.972,0.0502,0.000385,0.133,0.717
-4.127,0.0322,0.0209,0.067,0.665
-5.191,0.0884,0.0887,0.0283,0.858
-12.185,0.0261,0.429,0.174,0.677
-5.428,0.0299,0.00192,0.504,0.52
-4.958,0.0459,0.0478,0.0304,0.806
-6.094,0.0365,0.00571,0.3,0.202
-5.178,0.0322,0.00052,0.109,0.221
-5.433,0.0323,0.00935,0.753,0.584
-8.73,0.235,0.0949,0.592,0.892
-5.153,0.042,0.109,0.325,0.502
-5.529,0.0312,0.00138,0.0677,0.17
-9.101,0.0286,0.00466,0.122,0.652
-7.608,0.0292,0.504,0.111,0.27
-5.305,0.0297,0.0277,0.135,0.868
-4.537,0.0562,0.00691,0.14,0.499
-5.455,0.0278,0.0553,0.298,0.193
-6.176,0.401,0.0958,0.0288,0.717
-4.754,0.0756,0.00234,0.0621,0.615
-2.752,0.366,0.255,0.0708,0.777
-4.143,0.036,0.615,0.158,0.726
-4.616,0.264,0.00921,0.342,0.0596
-6.596,0.226,0.00249,0.0715,0.681
-4.315,0.0494,0.00204,0.137,0.827
-3.18,0.184,0.101,0.132,0.828
-5.448,0.188,0.00733,0.0575,0.96
-3.966,0.243,0.0637,0.237,0.561
-5.767,0.0474,0.0411,0.105,0.381
-3.626,0.104,0.163,0.0745,0.339
-4.315,0.306,0.0142,0.648,0.518
-4.951,0.0371,0.399,0.15,0.942
-3.935,0.0349,0.0526,0.0925,0.651
-5.148,0.314,0.23,0.15,0.327
-3.024,0.346,0.0521,0.0368,0.848
-6.93,0.0356,0.0457,0.0357,0.824
-3.554,0.131,0.111,0.0731,0.594
-3.09,0.183,0.0135,0.0719,0.673
-3.188,0.0698,0.00721,0.242,0.296
-4.629,0.0309,0.0303,0.137,0.962
-7.51,0.0586,0.252,0.661,0.808
-5.157,0.0421,0.00461,0.139,0.453
-8.019,0.0396,0.022,0.194,0.12
-6.02,0.21,0.1,0.049,0.889
-3.041,0.268,0.688,0.0841,0.535
-9.867,0.0375,0.618,0.234,0.511
-6.635,0.089,0.32,0.213,0.85
-6.814,0.0305,0.183,0.38,0.442
