artist,year
Edward Maya,2010
Taio Cruz,2010
Black Eyed Peas,2009
Sidney Samson,2009
Eminem,2010
Lady Gaga,2009
Rihanna,2009
Ne-Yo,2010
3OH!3,2010
Black Eyed Peas,2010
Kelly Rowland,2011
Swedish House Mafia,2010
Chris Brown,2011
Usher,2010
Iyaz,2009
Flo Rida,2010
Sean Kingston,2010
Waka Flocka Flame,2010
Tinie Tempah,2010
Bruno Mars,2010
Miley Cyrus,2010
Mike Posner,2010
Lady Gaga,2009
Yolanda Be Cool,2010
Rihanna,2009
Tinie Tempah,2010
Adam Lambert,2009
Trey Songz,2010
Timbaland,2009
Enrique Iglesias,2010
Tim Berg,2010
Usher,2010
Maroon 5,2010
Jay Sean,2009
Rihanna,2010
3OH!3,2010
Justin Bieber,2010
Cali Swag District,2011
Swedish House Mafia,2010
K'NAAN,2009
Ludacris,2010
Kesha,2010
DJ Khaled,2010
Jason Derulo,2010
Aloe Blacc,2010
B.o.B,2010
Ludacris,2010
Nelly,2010
Rihanna,2010
Shontelle,2010
Take That,2010
Trey Songz,2009
Jason Derulo,2010
Drake,2010
Example,2010
Plan B,2010
The Saturdays,2010
Jay Sean,2009
Usher,2010
Lil Wayne,2010
The Wanted,2010
Kesha,2010
Ellie Goulding,2010
Drake,2010
Jason Derulo,2010
Two Door Cinema Club,2010
JAY-Z,2009
Young Money,2009
B.o.B,2010
Katy Perry,2010
Scouting For Girls,2017
Travie McCoy,2010
Owl City,2009
Alicia Keys,2009
Lady A,2010
Taylor Swift,2010
Neon Trees,2010
Kris Allen,2009
Matt Cardle,2011
Robyn,2010
The Band Perry,2010
B.o.B,2010
Adele,2011
Maroon 5,2010
LMFAO,2011
Katy Perry,2010
Bruno Mars,2010
Pitbull,2011
Alexandra Stan,2011
David Guetta,2010
Jennifer Lopez,2011
Rihanna,2010
Kesha,2010
Snoop Dogg,2011
Taio Cruz,2010
Usher,2010
Example,2011
Black Eyed Peas,2010
David Guetta,2012
Lykke Li,2011
Pitbull,2011
Selena Gomez & The Scene,2011
Wiz Khalifa,2011
Katy Perry,2012
Britney Spears,2011
Gym Class Heroes,2011
Edward Maya,2010
Enrique Iglesias,2010
Jeremih,2010
Sak Noel,2011
Olly Murs,2011
LMFAO,2011
Cobra Starship,2011
Jessie J,2011
DJ Fresh,2012
Waka Flocka Flame,2010
Nickelback,2011
M83,2011
Britney Spears,2011
Labrinth,2012
Jason Derulo,2011
Coldplay,2011
Katy Perry,2012
Adele,2011
Dr. Dre,2011
Lil Wayne,2011
DJ Khaled,2011
Chris Brown,2011
Far East Movement,2010
The Wanted,2011
Kesha,2010
Kelly Rowland,2011
Rihanna,2011
Nicole Scherzinger,2011
Mann,2011
Chris Brown,2011
Swedish House Mafia,2011
Kanye West,2010
Miguel,2010
Diddy - Dirty Money,2010
Rihanna,2010
Chris Brown,2019
Avril Lavigne,2011
Professor Green,2011
Chase & Status,2011
Chip,2011
Selena Gomez & The Scene,2011
